[2022-11-14 23:25:58,636] 0	T_sample 17.15	T_update 4.91	ETA 12:14:56	expert_R_avg 0.3341 [0.3716,0.5172,0.2540,0.2063,0.2327,0.7706]	expert_R_range (0.0493, 0.9644)	eps_len 10.46
[2022-11-15 01:12:30,916] 271	T_sample 18.53	T_update 4.98	ETA 11:17:14	expert_R_avg 0.4571 [0.5504,0.5903,0.4580,0.1243,0.2808,0.2048]	expert_R_range (0.0303, 0.9485)	eps_len 74.02
[2022-11-15 01:12:54,647] 272	T_sample 18.70	T_update 4.99	ETA 11:21:55	expert_R_avg 0.4588 [0.5521,0.5911,0.4603,0.1243,0.2820,0.2041]	expert_R_range (0.0652, 0.9451)	eps_len 73.85
[2022-11-15 01:13:18,702] 273	T_sample 19.01	T_update 5.01	ETA 11:30:50	expert_R_avg 0.4600 [0.5525,0.5905,0.4637,0.1228,0.2825,0.2043]	expert_R_range (0.0495, 0.9432)	eps_len 73.74
[2022-11-15 01:13:42,459] 274	T_sample 18.72	T_update 5.00	ETA 11:21:52	expert_R_avg 0.4564 [0.5513,0.5879,0.4551,0.1211,0.2799,0.2027]	expert_R_range (0.0359, 0.9443)	eps_len 73.69
[2022-11-15 01:14:05,932] 275	T_sample 18.45	T_update 4.99	ETA 11:13:19	expert_R_avg 0.4599 [0.5543,0.5891,0.4611,0.1238,0.2810,0.2022]	expert_R_range (0.0679, 0.9450)	eps_len 73.82
[2022-11-15 01:14:29,610] 276	T_sample 18.67	T_update 4.97	ETA 11:18:48	expert_R_avg 0.4602 [0.5544,0.5901,0.4637,0.1247,0.2761,0.2020]	expert_R_range (0.0633, 0.9501)	eps_len 74.02
[2022-11-15 01:14:53,201] 277	T_sample 18.55	T_update 5.00	ETA 11:15:51	expert_R_avg 0.4610 [0.5550,0.5880,0.4645,0.1244,0.2795,0.2002]	expert_R_range (0.0471, 0.9431)	eps_len 74.09
[2022-11-15 01:15:17,347] 278	T_sample 19.09	T_update 5.01	ETA 11:31:27	expert_R_avg 0.4599 [0.5557,0.5875,0.4597,0.1276,0.2779,0.1987]	expert_R_range (0.0389, 0.9447)	eps_len 73.71
[2022-11-15 01:15:41,288] 279	T_sample 18.90	T_update 5.00	ETA 11:25:10	expert_R_avg 0.4600 [0.5558,0.5866,0.4606,0.1272,0.2778,0.1963]	expert_R_range (0.0441, 0.9427)	eps_len 73.70
[2022-11-15 01:16:05,197] 280	T_sample 18.86	T_update 5.00	ETA 11:23:38	expert_R_avg 0.4613 [0.5568,0.5877,0.4630,0.1257,0.2780,0.1983]	expert_R_range (0.0510, 0.9449)	eps_len 73.94
[2022-11-15 01:16:28,605] 281	T_sample 18.40	T_update 4.97	ETA 11:09:05	expert_R_avg 0.4614 [0.5555,0.5864,0.4650,0.1294,0.2788,0.1948]	expert_R_range (0.0711, 0.9420)	eps_len 73.88
[2022-11-15 01:16:52,183] 282	T_sample 18.54	T_update 5.00	ETA 11:13:35	expert_R_avg 0.4619 [0.5563,0.5860,0.4670,0.1246,0.2768,0.1944]	expert_R_range (0.0512, 0.9427)	eps_len 73.80
[2022-11-15 01:17:15,705] 283	T_sample 18.51	T_update 4.97	ETA 11:11:37	expert_R_avg 0.4624 [0.5572,0.5865,0.4674,0.1243,0.2775,0.1934]	expert_R_range (0.0674, 0.9448)	eps_len 74.14
[2022-11-15 01:17:39,284] 284	T_sample 18.53	T_update 5.01	ETA 11:12:48	expert_R_avg 0.4623 [0.5573,0.5863,0.4657,0.1266,0.2797,0.1935]	expert_R_range (0.0395, 0.9459)	eps_len 74.23
[2022-11-15 01:18:03,098] 285	T_sample 18.78	T_update 5.00	ETA 11:19:08	expert_R_avg 0.4636 [0.5572,0.5862,0.4701,0.1279,0.2775,0.1952]	expert_R_range (0.0244, 0.9454)	eps_len 73.94
[2022-11-15 01:18:27,068] 286	T_sample 18.92	T_update 5.01	ETA 11:23:12	expert_R_avg 0.4663 [0.5602,0.5892,0.4741,0.1264,0.2797,0.1936]	expert_R_range (0.0754, 0.9411)	eps_len 73.32
[2022-11-15 01:18:50,785] 287	T_sample 18.70	T_update 4.98	ETA 11:15:35	expert_R_avg 0.4601 [0.5566,0.5855,0.4613,0.1266,0.2736,0.1944]	expert_R_range (0.0606, 0.9429)	eps_len 73.74
[2022-11-15 01:19:14,319] 288	T_sample 18.51	T_update 4.98	ETA 11:09:57	expert_R_avg 0.4616 [0.5573,0.5853,0.4642,0.1247,0.2779,0.1930]	expert_R_range (0.0482, 0.9438)	eps_len 73.61
[2022-11-15 01:19:38,086] 289	T_sample 18.74	T_update 4.99	ETA 11:16:14	expert_R_avg 0.4588 [0.5563,0.5833,0.4568,0.1262,0.2776,0.1918]	expert_R_range (0.0439, 0.9442)	eps_len 73.46
[2022-11-15 01:20:01,724] 290	T_sample 18.59	T_update 5.00	ETA 11:11:58	expert_R_avg 0.4666 [0.5611,0.5853,0.4734,0.1245,0.2834,0.1896]	expert_R_range (0.0479, 0.9421)	eps_len 73.47
[2022-11-15 01:20:25,367] 291	T_sample 18.60	T_update 5.00	ETA 11:11:52	expert_R_avg 0.4639 [0.5607,0.5869,0.4673,0.1219,0.2786,0.1892]	expert_R_range (0.0519, 0.9363)	eps_len 74.00
[2022-11-15 01:20:49,081] 292	T_sample 18.65	T_update 5.02	ETA 11:13:30	expert_R_avg 0.4630 [0.5594,0.5841,0.4651,0.1258,0.2807,0.1874]	expert_R_range (0.0620, 0.9447)	eps_len 73.18
[2022-11-15 01:21:12,777] 293	T_sample 18.68	T_update 4.98	ETA 11:12:37	expert_R_avg 0.4639 [0.5604,0.5833,0.4669,0.1260,0.2802,0.1862]	expert_R_range (0.0440, 0.9428)	eps_len 73.66
[2022-11-15 01:21:36,633] 294	T_sample 18.83	T_update 4.98	ETA 11:16:45	expert_R_avg 0.4657 [0.5616,0.5852,0.4717,0.1252,0.2780,0.1877]	expert_R_range (0.0347, 0.9442)	eps_len 73.56
[2022-11-15 01:22:00,920] 295	T_sample 19.27	T_update 4.98	ETA 11:28:38	expert_R_avg 0.4658 [0.5621,0.5856,0.4709,0.1265,0.2796,0.1850]	expert_R_range (0.0575, 0.9433)	eps_len 74.02
[2022-11-15 01:22:24,417] 296	T_sample 18.47	T_update 4.98	ETA 11:05:46	expert_R_avg 0.4662 [0.5621,0.5855,0.4719,0.1253,0.2800,0.1855]	expert_R_range (0.0513, 0.9429)	eps_len 73.75
[2022-11-15 01:22:48,356] 297	T_sample 18.90	T_update 4.99	ETA 11:17:56	expert_R_avg 0.4647 [0.5605,0.5830,0.4690,0.1260,0.2839,0.1814]	expert_R_range (0.0362, 0.9436)	eps_len 73.90
[2022-11-15 01:23:12,127] 298	T_sample 18.76	T_update 4.98	ETA 11:12:47	expert_R_avg 0.4658 [0.5622,0.5839,0.4702,0.1258,0.2831,0.1806]	expert_R_range (0.0630, 0.9412)	eps_len 73.93
[2022-11-15 01:23:35,682] 299	T_sample 18.54	T_update 4.97	ETA 11:06:15	expert_R_avg 0.4671 [0.5638,0.5839,0.4716,0.1239,0.2862,0.1779]	expert_R_range (0.0452, 0.9406)	eps_len 73.85
[2022-11-15 01:23:59,815] 300	T_sample 19.09	T_update 4.99	ETA 11:22:00	expert_R_avg 0.4667 [0.5644,0.5836,0.4699,0.1265,0.2835,0.1776]	expert_R_range (0.0535, 0.9446)	eps_len 74.32
[2022-11-15 01:24:23,682] 301	T_sample 18.83	T_update 5.00	ETA 11:14:20	expert_R_avg 0.4677 [0.5653,0.5825,0.4720,0.1288,0.2810,0.1775]	expert_R_range (0.0651, 0.9414)	eps_len 73.84
[2022-11-15 01:24:47,560] 302	T_sample 18.87	T_update 4.97	ETA 11:14:15	expert_R_avg 0.4661 [0.5629,0.5832,0.4715,0.1281,0.2788,0.1781]	expert_R_range (0.0359, 0.9422)	eps_len 73.99
[2022-11-15 01:25:11,341] 303	T_sample 18.76	T_update 4.98	ETA 11:11:05	expert_R_avg 0.4681 [0.5649,0.5820,0.4746,0.1279,0.2804,0.1771]	expert_R_range (0.0408, 0.9380)	eps_len 73.64
[2022-11-15 01:25:35,003] 304	T_sample 18.67	T_update 4.96	ETA 11:07:19	expert_R_avg 0.4665 [0.5640,0.5816,0.4723,0.1294,0.2755,0.1758]	expert_R_range (0.0574, 0.9451)	eps_len 74.38
[2022-11-15 01:25:58,842] 305	T_sample 18.79	T_update 5.01	ETA 11:11:56	expert_R_avg 0.4687 [0.5658,0.5808,0.4744,0.1310,0.2838,0.1718]	expert_R_range (0.0302, 0.9433)	eps_len 74.22
[2022-11-15 01:26:22,679] 306	T_sample 18.80	T_update 5.00	ETA 11:11:29	expert_R_avg 0.4652 [0.5652,0.5797,0.4652,0.1295,0.2805,0.1707]	expert_R_range (0.0392, 0.9447)	eps_len 73.43
[2022-11-15 01:26:46,501] 307	T_sample 18.78	T_update 5.00	ETA 11:10:37	expert_R_avg 0.4662 [0.5654,0.5794,0.4681,0.1323,0.2780,0.1726]	expert_R_range (0.0201, 0.9423)	eps_len 73.81
[2022-11-15 01:27:10,469] 308	T_sample 18.95	T_update 4.98	ETA 11:14:19	expert_R_avg 0.4648 [0.5644,0.5799,0.4659,0.1279,0.2789,0.1698]	expert_R_range (0.0115, 0.9446)	eps_len 73.53
[2022-11-15 01:27:34,337] 309	T_sample 18.84	T_update 4.99	ETA 11:11:10	expert_R_avg 0.4666 [0.5666,0.5802,0.4682,0.1308,0.2779,0.1701]	expert_R_range (0.0508, 0.9443)	eps_len 73.37
[2022-11-15 01:27:58,099] 310	T_sample 18.73	T_update 4.99	ETA 11:07:33	expert_R_avg 0.4680 [0.5673,0.5801,0.4718,0.1299,0.2790,0.1688]	expert_R_range (0.0385, 0.9426)	eps_len 73.61
[2022-11-15 01:28:22,146] 311	T_sample 19.01	T_update 5.00	ETA 11:15:25	expert_R_avg 0.4674 [0.5669,0.5782,0.4705,0.1239,0.2820,0.1670]	expert_R_range (0.0410, 0.9416)	eps_len 73.97
[2022-11-15 01:28:46,250] 312	T_sample 19.08	T_update 4.98	ETA 11:16:35	expert_R_avg 0.4704 [0.5683,0.5806,0.4770,0.1273,0.2841,0.1683]	expert_R_range (0.0368, 0.9397)	eps_len 73.55
[2022-11-15 01:29:10,132] 313	T_sample 18.84	T_update 5.00	ETA 11:09:58	expert_R_avg 0.4701 [0.5700,0.5806,0.4745,0.1265,0.2818,0.1660]	expert_R_range (0.0496, 0.9424)	eps_len 73.62
[2022-11-15 01:29:34,211] 314	T_sample 19.03	T_update 5.01	ETA 11:15:08	expert_R_avg 0.4677 [0.5677,0.5789,0.4712,0.1248,0.2781,0.1678]	expert_R_range (0.0578, 0.9461)	eps_len 73.76
[2022-11-15 01:29:58,215] 315	T_sample 18.98	T_update 4.98	ETA 11:12:36	expert_R_avg 0.4704 [0.5692,0.5802,0.4758,0.1275,0.2836,0.1671]	expert_R_range (0.0285, 0.9405)	eps_len 73.78
[2022-11-15 01:30:22,161] 316	T_sample 18.92	T_update 4.99	ETA 11:10:34	expert_R_avg 0.4713 [0.5708,0.5820,0.4756,0.1264,0.2860,0.1651]	expert_R_range (0.0521, 0.9407)	eps_len 73.77
[2022-11-15 01:30:46,321] 317	T_sample 19.15	T_update 4.97	ETA 11:16:12	expert_R_avg 0.4701 [0.5701,0.5798,0.4739,0.1278,0.2832,0.1639]	expert_R_range (0.0248, 0.9425)	eps_len 73.52
[2022-11-15 01:31:10,180] 318	T_sample 18.84	T_update 4.98	ETA 11:07:19	expert_R_avg 0.4725 [0.5711,0.5789,0.4795,0.1267,0.2863,0.1626]	expert_R_range (0.0558, 0.9456)	eps_len 73.59
[2022-11-15 01:31:33,722] 319	T_sample 18.52	T_update 4.98	ETA 10:58:05	expert_R_avg 0.4697 [0.5695,0.5771,0.4740,0.1265,0.2832,0.1627]	expert_R_range (0.0534, 0.9434)	eps_len 73.09
[2022-11-15 01:31:57,625] 320	T_sample 18.87	T_update 4.98	ETA 11:07:35	expert_R_avg 0.4716 [0.5715,0.5808,0.4772,0.1260,0.2820,0.1639]	expert_R_range (0.0633, 0.9423)	eps_len 74.22
[2022-11-15 01:32:21,524] 321	T_sample 18.89	T_update 4.97	ETA 11:07:16	expert_R_avg 0.4695 [0.5707,0.5795,0.4727,0.1244,0.2786,0.1658]	expert_R_range (0.0269, 0.9442)	eps_len 73.17
[2022-11-15 01:32:45,237] 322	T_sample 18.68	T_update 5.00	ETA 11:01:40	expert_R_avg 0.4710 [0.5716,0.5792,0.4754,0.1255,0.2813,0.1641]	expert_R_range (0.0344, 0.9426)	eps_len 73.41
[2022-11-15 01:33:09,528] 323	T_sample 19.30	T_update 4.96	ETA 11:17:26	expert_R_avg 0.4714 [0.5728,0.5779,0.4742,0.1245,0.2852,0.1610]	expert_R_range (0.0308, 0.9436)	eps_len 73.33
[2022-11-15 01:33:33,390] 324	T_sample 18.85	T_update 4.97	ETA 11:05:04	expert_R_avg 0.4696 [0.5712,0.5762,0.4708,0.1270,0.2842,0.1611]	expert_R_range (0.0411, 0.9464)	eps_len 73.35
[2022-11-15 01:33:57,292] 325	T_sample 18.89	T_update 4.97	ETA 11:05:46	expert_R_avg 0.4727 [0.5732,0.5774,0.4763,0.1285,0.2880,0.1609]	expert_R_range (0.0521, 0.9433)	eps_len 73.47
[2022-11-15 01:34:21,450] 326	T_sample 19.11	T_update 5.00	ETA 11:12:26	expert_R_avg 0.4712 [0.5726,0.5771,0.4722,0.1246,0.2889,0.1623]	expert_R_range (0.0619, 0.9468)	eps_len 73.13
[2022-11-15 01:34:45,527] 327	T_sample 19.06	T_update 4.98	ETA 11:09:50	expert_R_avg 0.4706 [0.5724,0.5759,0.4707,0.1238,0.2896,0.1597]	expert_R_range (0.0614, 0.9423)	eps_len 73.41
[2022-11-15 01:35:09,680] 328	T_sample 19.14	T_update 4.97	ETA 11:11:32	expert_R_avg 0.4699 [0.5711,0.5760,0.4725,0.1276,0.2822,0.1605]	expert_R_range (0.0422, 0.9431)	eps_len 73.49
[2022-11-15 01:35:33,298] 329	T_sample 18.61	T_update 4.97	ETA 10:56:17	expert_R_avg 0.4735 [0.5738,0.5758,0.4784,0.1268,0.2882,0.1574]	expert_R_range (0.0505, 0.9392)	eps_len 73.09
[2022-11-15 01:35:57,361] 330	T_sample 19.03	T_update 4.99	ETA 11:08:01	expert_R_avg 0.4733 [0.5745,0.5775,0.4763,0.1281,0.2879,0.1578]	expert_R_range (0.0406, 0.9463)	eps_len 73.81
[2022-11-15 01:36:21,004] 331	T_sample 18.62	T_update 4.99	ETA 10:56:11	expert_R_avg 0.4739 [0.5741,0.5782,0.4800,0.1284,0.2848,0.1591]	expert_R_range (0.0650, 0.9433)	eps_len 74.17
[2022-11-15 01:36:44,748] 332	T_sample 18.74	T_update 4.97	ETA 10:58:35	expert_R_avg 0.4724 [0.5736,0.5762,0.4765,0.1271,0.2844,0.1576]	expert_R_range (0.0366, 0.9374)	eps_len 73.82
[2022-11-15 01:37:08,337] 333	T_sample 18.57	T_update 4.98	ETA 10:53:55	expert_R_avg 0.4746 [0.5760,0.5787,0.4801,0.1270,0.2824,0.1590]	expert_R_range (0.0330, 0.9433)	eps_len 73.93
[2022-11-15 01:37:32,066] 334	T_sample 18.71	T_update 4.98	ETA 10:57:21	expert_R_avg 0.4760 [0.5761,0.5788,0.4851,0.1284,0.2807,0.1582]	expert_R_range (0.0478, 0.9426)	eps_len 73.69
[2022-11-15 01:37:55,929] 335	T_sample 18.84	T_update 4.98	ETA 11:00:42	expert_R_avg 0.4761 [0.5762,0.5764,0.4835,0.1287,0.2869,0.1560]	expert_R_range (0.0315, 0.9431)	eps_len 73.74
[2022-11-15 01:38:19,740] 336	T_sample 18.78	T_update 4.99	ETA 10:58:53	expert_R_avg 0.4757 [0.5775,0.5771,0.4798,0.1278,0.2893,0.1538]	expert_R_range (0.0500, 0.9424)	eps_len 73.52
[2022-11-15 01:38:43,917] 337	T_sample 19.15	T_update 4.98	ETA 11:08:35	expert_R_avg 0.4726 [0.5757,0.5755,0.4737,0.1252,0.2872,0.1537]	expert_R_range (0.0381, 0.9435)	eps_len 73.08
[2022-11-15 01:39:07,687] 338	T_sample 18.74	T_update 4.99	ETA 10:56:56	expert_R_avg 0.4771 [0.5776,0.5781,0.4851,0.1291,0.2868,0.1536]	expert_R_range (0.0435, 0.9405)	eps_len 73.82
[2022-11-15 01:39:31,636] 339	T_sample 18.94	T_update 4.97	ETA 11:01:29	expert_R_avg 0.4702 [0.5732,0.5729,0.4712,0.1230,0.2844,0.1533]	expert_R_range (0.0434, 0.9410)	eps_len 73.79
[2022-11-15 01:39:55,517] 340	T_sample 18.87	T_update 4.96	ETA 10:59:00	expert_R_avg 0.4744 [0.5761,0.5743,0.4797,0.1255,0.2858,0.1521]	expert_R_range (0.0191, 0.9411)	eps_len 73.59
[2022-11-15 01:40:19,474] 341	T_sample 18.92	T_update 5.00	ETA 11:00:54	expert_R_avg 0.4755 [0.5769,0.5761,0.4813,0.1255,0.2878,0.1524]	expert_R_range (0.0472, 0.9444)	eps_len 73.62
[2022-11-15 01:40:43,371] 342	T_sample 18.87	T_update 4.98	ETA 10:58:51	expert_R_avg 0.4759 [0.5777,0.5769,0.4817,0.1262,0.2855,0.1528]	expert_R_range (0.0522, 0.9439)	eps_len 73.95
[2022-11-15 01:41:07,246] 343	T_sample 18.82	T_update 5.01	ETA 10:57:48	expert_R_avg 0.4756 [0.5771,0.5746,0.4828,0.1260,0.2832,0.1514]	expert_R_range (0.0411, 0.9420)	eps_len 73.81
[2022-11-15 01:41:30,994] 344	T_sample 18.74	T_update 4.97	ETA 10:53:57	expert_R_avg 0.4753 [0.5771,0.5750,0.4811,0.1292,0.2840,0.1508]	expert_R_range (0.0235, 0.9378)	eps_len 74.19
[2022-11-15 01:41:54,760] 345	T_sample 18.71	T_update 5.01	ETA 10:54:00	expert_R_avg 0.4748 [0.5766,0.5738,0.4807,0.1276,0.2836,0.1499]	expert_R_range (0.0747, 0.9397)	eps_len 73.69
[2022-11-15 01:42:18,916] 346	T_sample 19.12	T_update 5.00	ETA 11:04:24	expert_R_avg 0.4739 [0.5772,0.5736,0.4771,0.1293,0.2827,0.1486]	expert_R_range (0.0275, 0.9392)	eps_len 73.88
[2022-11-15 01:42:43,150] 347	T_sample 19.20	T_update 4.99	ETA 11:06:06	expert_R_avg 0.4769 [0.5788,0.5763,0.4838,0.1283,0.2848,0.1485]	expert_R_range (0.0377, 0.9372)	eps_len 74.25
[2022-11-15 01:43:07,072] 348	T_sample 18.89	T_update 5.00	ETA 10:57:11	expert_R_avg 0.4748 [0.5781,0.5739,0.4787,0.1276,0.2838,0.1471]	expert_R_range (0.0407, 0.9407)	eps_len 74.14
[2022-11-15 01:43:31,088] 349	T_sample 19.00	T_update 4.97	ETA 10:59:19	expert_R_avg 0.4735 [0.5765,0.5719,0.4776,0.1284,0.2825,0.1464]	expert_R_range (0.0270, 0.9444)	eps_len 74.17
[2022-11-15 01:43:55,108] 350	T_sample 18.96	T_update 5.01	ETA 10:58:51	expert_R_avg 0.4739 [0.5767,0.5727,0.4780,0.1269,0.2845,0.1464]	expert_R_range (0.0235, 0.9424)	eps_len 73.59
[2022-11-15 01:44:19,084] 351	T_sample 18.94	T_update 4.99	ETA 10:57:26	expert_R_avg 0.4735 [0.5778,0.5752,0.4742,0.1291,0.2853,0.1462]	expert_R_range (0.0324, 0.9359)	eps_len 74.01
[2022-11-15 01:44:43,023] 352	T_sample 18.90	T_update 5.00	ETA 10:55:59	expert_R_avg 0.4749 [0.5764,0.5738,0.4825,0.1259,0.2825,0.1474]	expert_R_range (0.0088, 0.9402)	eps_len 73.76
[2022-11-15 01:45:07,090] 353	T_sample 19.01	T_update 5.01	ETA 10:59:08	expert_R_avg 0.4740 [0.5768,0.5738,0.4786,0.1285,0.2839,0.1457]	expert_R_range (0.0549, 0.9416)	eps_len 73.32
[2022-11-15 01:45:31,175] 354	T_sample 19.06	T_update 4.99	ETA 10:59:14	expert_R_avg 0.4769 [0.5778,0.5728,0.4858,0.1287,0.2863,0.1440]	expert_R_range (0.0405, 0.9410)	eps_len 73.94
[2022-11-15 01:45:55,421] 355	T_sample 19.21	T_update 5.00	ETA 11:03:15	expert_R_avg 0.4737 [0.5772,0.5729,0.4772,0.1267,0.2842,0.1437]	expert_R_range (0.0475, 0.9400)	eps_len 73.53
[2022-11-15 01:46:19,335] 356	T_sample 18.89	T_update 4.98	ETA 10:53:45	expert_R_avg 0.4762 [0.5789,0.5741,0.4824,0.1256,0.2859,0.1445]	expert_R_range (0.0298, 0.9440)	eps_len 73.54
[2022-11-15 01:46:43,020] 357	T_sample 18.65	T_update 4.99	ETA 10:47:01	expert_R_avg 0.4779 [0.5798,0.5732,0.4863,0.1264,0.2860,0.1440]	expert_R_range (0.0660, 0.9352)	eps_len 73.61
[2022-11-15 01:47:07,398] 358	T_sample 19.34	T_update 5.00	ETA 11:05:38	expert_R_avg 0.4739 [0.5786,0.5712,0.4767,0.1258,0.2821,0.1419]	expert_R_range (0.0516, 0.9434)	eps_len 73.42
[2022-11-15 01:47:31,009] 359	T_sample 18.59	T_update 4.98	ETA 10:44:18	expert_R_avg 0.4743 [0.5800,0.5714,0.4762,0.1273,0.2802,0.1410]	expert_R_range (0.0276, 0.9387)	eps_len 73.81
[2022-11-15 01:47:55,161] 360	T_sample 19.10	T_update 5.00	ETA 10:58:28	expert_R_avg 0.4758 [0.5795,0.5731,0.4816,0.1280,0.2819,0.1405]	expert_R_range (0.0425, 0.9398)	eps_len 73.76
[2022-11-15 01:48:19,106] 361	T_sample 18.92	T_update 4.98	ETA 10:52:36	expert_R_avg 0.4746 [0.5783,0.5723,0.4806,0.1261,0.2802,0.1386]	expert_R_range (0.0140, 0.9426)	eps_len 73.64
[2022-11-15 01:48:43,012] 362	T_sample 18.87	T_update 4.99	ETA 10:51:09	expert_R_avg 0.4754 [0.5791,0.5702,0.4816,0.1247,0.2821,0.1375]	expert_R_range (0.0141, 0.9383)	eps_len 73.44
[2022-11-15 01:49:07,079] 363	T_sample 19.06	T_update 4.97	ETA 10:55:07	expert_R_avg 0.4777 [0.5811,0.5723,0.4856,0.1262,0.2823,0.1385]	expert_R_range (0.0491, 0.9400)	eps_len 73.96
[2022-11-15 01:49:31,221] 364	T_sample 19.10	T_update 5.00	ETA 10:56:47	expert_R_avg 0.4775 [0.5810,0.5712,0.4856,0.1276,0.2805,0.1368]	expert_R_range (0.0334, 0.9434)	eps_len 73.83
[2022-11-15 01:49:55,147] 365	T_sample 18.91	T_update 4.97	ETA 10:50:27	expert_R_avg 0.4775 [0.5818,0.5716,0.4844,0.1287,0.2804,0.1370]	expert_R_range (0.0371, 0.9432)	eps_len 73.82
[2022-11-15 01:50:19,188] 366	T_sample 18.99	T_update 5.01	ETA 10:53:14	expert_R_avg 0.4768 [0.5822,0.5720,0.4811,0.1309,0.2805,0.1363]	expert_R_range (0.0408, 0.9404)	eps_len 73.88
[2022-11-15 01:50:43,234] 367	T_sample 19.01	T_update 5.00	ETA 10:52:57	expert_R_avg 0.4787 [0.5832,0.5729,0.4857,0.1286,0.2823,0.1353]	expert_R_range (0.0195, 0.9441)	eps_len 73.40
[2022-11-15 01:51:07,353] 368	T_sample 19.08	T_update 5.00	ETA 10:54:32	expert_R_avg 0.4817 [0.5864,0.5742,0.4891,0.1320,0.2837,0.1355]	expert_R_range (0.0353, 0.9428)	eps_len 74.08
[2022-11-15 01:51:31,587] 369	T_sample 19.20	T_update 4.99	ETA 10:57:15	expert_R_avg 0.4784 [0.5844,0.5728,0.4818,0.1335,0.2826,0.1336]	expert_R_range (0.0223, 0.9420)	eps_len 73.87
[2022-11-15 01:51:55,267] 370	T_sample 18.63	T_update 5.00	ETA 10:41:39	expert_R_avg 0.4824 [0.5878,0.5741,0.4882,0.1327,0.2890,0.1308]	expert_R_range (0.0489, 0.9432)	eps_len 74.26
[2022-11-15 01:52:19,282] 371	T_sample 19.00	T_update 4.97	ETA 10:50:31	expert_R_avg 0.4787 [0.5858,0.5720,0.4806,0.1297,0.2858,0.1307]	expert_R_range (0.0255, 0.9414)	eps_len 74.18
[2022-11-15 01:52:43,156] 372	T_sample 18.84	T_update 4.99	ETA 10:46:17	expert_R_avg 0.4788 [0.5858,0.5709,0.4806,0.1325,0.2860,0.1288]	expert_R_range (0.0383, 0.9384)	eps_len 73.91
[2022-11-15 01:53:07,097] 373	T_sample 18.90	T_update 5.00	ETA 10:47:41	expert_R_avg 0.4819 [0.5896,0.5724,0.4846,0.1336,0.2867,0.1282]	expert_R_range (0.0184, 0.9373)	eps_len 73.30
[2022-11-15 01:53:30,999] 374	T_sample 18.85	T_update 5.01	ETA 10:46:15	expert_R_avg 0.4790 [0.5879,0.5720,0.4779,0.1317,0.2867,0.1286]	expert_R_range (0.0236, 0.9414)	eps_len 73.85
[2022-11-15 01:53:54,738] 375	T_sample 18.72	T_update 4.98	ETA 10:41:25	expert_R_avg 0.4825 [0.5909,0.5737,0.4846,0.1340,0.2847,0.1286]	expert_R_range (0.0465, 0.9399)	eps_len 73.44
[2022-11-15 01:54:18,345] 376	T_sample 18.54	T_update 5.02	ETA 10:37:28	expert_R_avg 0.4810 [0.5884,0.5721,0.4841,0.1306,0.2870,0.1278]	expert_R_range (0.0364, 0.9395)	eps_len 73.64
[2022-11-15 01:54:42,267] 377	T_sample 18.89	T_update 4.99	ETA 10:45:36	expert_R_avg 0.4817 [0.5881,0.5717,0.4869,0.1297,0.2880,0.1270]	expert_R_range (0.0316, 0.9377)	eps_len 73.93
[2022-11-15 01:55:06,048] 378	T_sample 18.73	T_update 5.01	ETA 10:41:24	expert_R_avg 0.4802 [0.5880,0.5721,0.4819,0.1292,0.2881,0.1271]	expert_R_range (0.0446, 0.9393)	eps_len 73.72
[2022-11-15 01:55:29,786] 379	T_sample 18.71	T_update 4.99	ETA 10:39:48	expert_R_avg 0.4820 [0.5898,0.5705,0.4843,0.1314,0.2895,0.1259]	expert_R_range (0.0317, 0.9420)	eps_len 73.96
[2022-11-15 01:55:53,786] 380	T_sample 18.92	T_update 5.03	ETA 10:46:21	expert_R_avg 0.4841 [0.5914,0.5734,0.4877,0.1316,0.2919,0.1265]	expert_R_range (0.0249, 0.9443)	eps_len 73.48
[2022-11-15 01:56:17,458] 381	T_sample 18.62	T_update 5.01	ETA 10:37:15	expert_R_avg 0.4811 [0.5885,0.5705,0.4836,0.1283,0.2901,0.1261]	expert_R_range (0.0373, 0.9390)	eps_len 73.42
[2022-11-15 01:56:41,037] 382	T_sample 18.55	T_update 4.99	ETA 10:34:21	expert_R_avg 0.4795 [0.5876,0.5714,0.4802,0.1277,0.2900,0.1260]	expert_R_range (0.0460, 0.9428)	eps_len 74.03
[2022-11-15 01:57:04,738] 383	T_sample 18.66	T_update 5.00	ETA 10:37:14	expert_R_avg 0.4792 [0.5875,0.5700,0.4807,0.1299,0.2855,0.1253]	expert_R_range (0.0460, 0.9352)	eps_len 73.88
[2022-11-15 01:57:28,683] 384	T_sample 18.90	T_update 5.01	ETA 10:43:26	expert_R_avg 0.4825 [0.5908,0.5720,0.4844,0.1314,0.2898,0.1250]	expert_R_range (0.0414, 0.9408)	eps_len 73.24
[2022-11-15 01:57:52,727] 385	T_sample 19.02	T_update 4.99	ETA 10:45:43	expert_R_avg 0.4800 [0.5877,0.5701,0.4822,0.1305,0.2869,0.1240]	expert_R_range (0.0196, 0.9423)	eps_len 73.80
[2022-11-15 01:58:16,850] 386	T_sample 19.11	T_update 4.97	ETA 10:47:25	expert_R_avg 0.4828 [0.5920,0.5703,0.4845,0.1305,0.2887,0.1223]	expert_R_range (0.0395, 0.9416)	eps_len 73.34
